0,1,2,3,4,5
PWGTP,SOCP,SCHL_RC1,SCHL,PUMA,STATE
47,N,3,19,23304,53
74,537062,3,19,23304,53
54,N,4,21,23304,53
18,N,4,21,23304,53
47,N,3,19,23304,53
46,436014,3,18,23304,53
10,N,4,21,23304,53
17,N,2,16,23304,53
9,N,1,10,23304,53
34,N,2,16,23304,53
12,N,4,21,23304,53
103,N,4,21,23304,53
40,399032,3,19,23304,53
49,N,2,16,23304,53
16,N,4,21,23304,53
10,N,4,21,23304,53
12,339030,3,19,23304,53
97,N,4,21,23304,53
75,N,2,16,23304,53
18,311122,4,21,23304,53
99,N,4,21,23304,53
8,N,4,21,23304,53
21,N,4,21,23304,53
21,311122,4,21,23304,53
12,N,4,21,23304,53
100,412031,5,22,23304,53
7,N,4,21,23304,53
80,311122,4,21,23304,53
39,399011,3,19,23304,53
10,N,4,21,23304,53
57,N,4,21,23304,53
14,412031,5,22,23304,53
47,537061,3,19,23304,53
31,436011,4,21,23304,53
36,151252,4,21,23304,53
108,N,3,19,23304,53
112,1191XX,4,21,23304,53
125,N,1,2,23304,53
102,399011,4,21,23304,53
112,N,4,21,23304,53
41,1191XX,5,22,23304,53
34,132011,4,21,23304,53
40,N,5,24,23304,53
34,N,4,21,23304,53
69,113051,5,22,23304,53
59,151252,4,21,23304,53
313,259040,4,21,23304,53
398,472111,3,18,23304,53
326,259040,4,21,23304,53
371,131082,4,21,23304,53
74,151252,5,22,23304,53
74,131023,4,21,23304,53
67,N,1,8,23304,53
58,N,1,6,23304,53
88,291051,5,22,23304,53
33,132011,4,21,23304,53
48,119021,4,21,23304,53
74,111021,5,22,23304,53
58,N,4,21,23304,53
69,119051,4,21,23304,53
75,537064,1,13,23304,53
61,516031,2,17,23304,53
71,434171,3,19,23304,53
71,373011,4,20,23304,53
56,519061,4,20,23304,53
108,395094,4,21,23304,53
123,434051,4,21,23304,53
32,518021,4,21,23304,53
32,113031,3,19,23304,53
61,N,3,18,23304,53
83,252010,3,18,23304,53
87,252010,2,16,23304,53
118,251000,5,22,23304,53
98,N,4,20,23304,53
48,N,1,14,23304,53
109,172051,4,21,23304,53
67,113021,4,21,23304,53
161,339030,2,17,23304,53
208,472152,2,16,23304,53
187,N,1,6,23304,53
187,531000,2,16,23304,53
81,151252,5,22,23304,53
84,151252,5,22,23304,53
121,371012,4,20,23304,53
374,151252,5,22,23304,53
368,151252,5,22,23304,53
261,N,1,12,23304,53
331,N,1,7,23304,53
76,151252,4,21,23304,53
64,N,5,22,23304,53
70,1110XX,5,22,23304,53
56,1110XX,3,18,23304,53
51,119051,4,20,23304,53
55,412010,1,14,23304,53
45,N,1,11,23304,53
84,N,4,21,23304,53
9,1110XX,5,22,23304,53
8,1191XX,4,21,23304,53
129,171011,4,21,23304,53
91,131161,4,21,23304,53
97,N,1,13,23304,53
89,N,1,10,23304,53
66,1520XX,5,22,23304,53
66,131070,5,22,23304,53
51,N,1,2,23304,53
72,413091,5,22,23304,53
83,N,4,20,23304,53
70,N,1,1,23304,53
173,533054,3,19,23304,53
143,112021,3,19,23304,53
112,151252,4,21,23304,53
89,1191XX,4,21,23304,53
123,N,1,10,23304,53
94,N,5,22,23304,53
90,N,5,22,23304,53
83,151252,4,21,23304,53
65,1110XX,4,21,23304,53
66,211093,5,22,23304,53
57,N,1,10,23304,53
55,N,1,8,23304,53
36,532010,5,22,23304,53
35,532010,4,21,23304,53
62,352010,4,20,23304,53
37,399011,1,14,23304,53
40,N,1,9,23304,53
32,N,4,21,23304,53
121,119041,5,22,23304,53
91,N,4,21,23304,53
70,151252,5,22,23304,53
48,251000,5,24,23304,53
34,291210,5,23,23304,53
58,1191XX,4,21,23304,53
74,151252,5,22,23304,53
64,N,1,9,23304,53
137,1721YY,4,21,23304,53
126,17301X,4,21,23304,53
146,1520XX,4,21,23304,53
144,151252,5,23,23304,53
127,252030,4,21,23304,53
133,432011,2,16,23304,53
133,193033,4,21,23304,53
137,N,1,10,23304,53
136,N,1,9,23304,53
221,132070,4,21,23304,53
285,2310XX,5,24,23304,53
234,292053,4,21,23304,53
280,N,3,19,23304,53
88,132051,5,22,23304,53
86,291141,4,21,23304,53
68,N,1,6,23304,53
68,N,1,2,23304,53
91,N,2,16,23304,53
102,1191XX,4,21,23304,53
95,273041,5,22,23304,53
210,413091,2,16,23304,53
133,259040,4,20,23304,53
114,N,4,21,23304,53
119,N,1,5,23304,53
77,151252,5,22,23304,53
74,113121,5,22,23304,53
66,N,1,1,23304,53
66,N,1,0,23304,53
67,431011,5,24,23304,53
82,N,5,22,23304,53
60,412031,3,19,23304,53
58,436014,3,19,23304,53
68,419099,5,22,23304,53
71,151252,5,22,23304,53
234,533030,2,16,23304,53
221,37301X,2,16,23304,53
42,1520XX,5,22,23304,53
42,252010,1,15,23304,53
37,N,1,1,23304,53
46,N,1,0,23304,53
91,N,2,16,23304,53
43,151252,5,22,23304,53
37,151252,5,24,23304,53
61,431011,5,22,23304,53
52,291141,4,21,23304,53
62,N,1,12,23304,53
220,411011,5,22,23304,53
255,132011,4,21,23304,53
74,N,5,22,23304,53
77,151252,5,22,23304,53
57,119021,5,23,23304,53
65,271024,4,21,23304,53
50,N,1,13,23304,53
63,N,1,10,23304,53
64,191020,5,24,23304,53
60,N,5,24,23304,53
52,519010,5,22,23304,53
122,151252,5,22,23304,53
109,N,4,21,23304,53
63,N,4,20,23304,53
54,272012,5,22,23304,53
109,N,4,21,23304,53
96,151252,4,21,23304,53
95,N,1,14,23304,53
99,N,1,10,23304,53
126,N,5,24,23304,53
63,N,5,22,23304,53
61,N,4,21,23304,53
69,1191XX,5,22,23304,53
70,412010,4,21,23304,53
62,N,1,4,23304,53
60,N,2,16,23304,53
55,434051,4,21,23304,53
72,1191XX,5,23,23304,53
76,537051,3,18,23304,53
57,N,3,19,23304,53
23,2310XX,5,23,23304,53
32,N,5,22,23304,53
54,N,4,21,23304,53
61,113071,3,19,23304,53
62,N,1,15,23304,53
128,291141,4,21,23304,53
113,151252,4,21,23304,53
111,N,1,0,23304,53
74,131111,4,21,23304,53
74,132011,4,21,23304,53
181,119051,4,21,23304,53
161,N,1,12,23304,53
314,533030,4,21,23304,53
79,172051,5,24,23304,53
80,291210,5,23,23304,53
93,131081,4,21,23304,53
82,518021,2,16,23304,53
101,N,1,0,23304,53
100,N,5,24,23304,53
81,399011,4,21,23304,53
89,151252,4,21,23304,53
80,411011,5,22,23304,53
11,112021,4,21,23304,53
13,N,4,21,23304,53
64,413091,4,21,23304,53
67,232011,4,21,23304,53
72,33909X,4,21,23304,53
73,1910XX,5,24,23304,53
82,N,5,22,23304,53
30,N,5,22,23304,53
33,N,4,21,23304,53
92,151252,5,22,23304,53
97,131070,4,21,23304,53
100,273042,5,22,23304,53
237,252020,4,21,23304,53
249,151252,5,22,23304,53
189,N,1,5,23304,53
216,N,1,5,23304,53
127,151252,5,22,23304,53
122,151252,5,22,23304,53
122,192099,5,24,23304,53
126,151211,5,22,23304,53
111,132051,4,21,23304,53
85,537062,5,22,23304,53
58,N,2,16,23304,53
80,291141,4,21,23304,53
69,291141,4,21,23304,53
64,N,1,14,23304,53
71,151212,4,21,23304,53
75,119041,5,24,23304,53
72,N,5,22,23304,53
62,272022,1,13,23304,53
79,N,1,5,23304,53
33,N,2,17,23304,53
28,N,1,14,23304,53
27,N,1,9,23304,53
85,151252,5,22,23304,53
84,N,4,20,23304,53
66,N,1,6,23304,53
66,N,1,3,23304,53
96,N,1,1,23304,53
77,N,4,20,23304,53
69,411011,4,21,23304,53
55,211012,5,22,23304,53
74,N,1,7,23304,53
62,N,1,5,23304,53
333,151252,5,22,23304,53
386,151252,5,22,23304,53
63,412010,5,23,23304,53
70,1110XX,4,21,23304,53
74,112022,5,22,23304,53
127,537065,3,19,23304,53
76,392021,1,14,23304,53
81,N,1,11,23304,53
74,212011,4,21,23304,53
71,111021,4,21,23304,53
68,291141,4,21,23304,53
85,399011,4,21,23304,53
88,N,1,0,23304,53
73,319094,4,21,23304,53
111,231012,4,21,23304,53
308,433031,3,18,23304,53
332,131051,3,18,23304,53
100,N,4,21,23304,53
123,151252,5,22,23304,53
122,131111,5,22,23304,53
141,N,1,1,23304,53
141,N,1,0,23304,53
128,151252,5,22,23304,53
72,131082,4,21,23304,53
99,413091,3,19,23304,53
124,353023,3,19,23304,53
33,N,2,16,23304,53
66,414010,4,21,23304,53
52,2310XX,5,23,23304,53
61,N,1,7,23304,53
61,N,1,5,23304,53
80,N,1,1,23304,53
102,119021,4,21,23304,53
67,29112X,5,22,23304,53
63,413021,4,21,23304,53
64,N,2,16,23304,53
59,N,3,19,23304,53
61,151252,5,22,23304,53
48,N,4,21,23304,53
67,N,1,8,23304,53
55,N,1,6,23304,53
56,N,2,16,23304,53
67,151252,5,22,23304,53
56,N,5,22,23304,53
52,N,3,19,23304,53
35,N,5,22,23304,53
49,N,5,24,23304,53
60,N,4,20,23304,53
58,N,3,18,23304,53
48,311131,1,15,23304,53
39,N,2,16,23304,53
45,N,1,13,23304,53
56,352021,2,16,23304,53
68,132011,4,21,23304,53
51,N,5,22,23304,53
69,434051,4,21,23304,53
68,N,4,21,23304,53
57,N,1,0,23304,53
125,291210,5,23,23304,53
172,N,1,0,23304,53
108,131161,5,24,23304,53
100,1110XX,5,24,23304,53
88,192099,4,21,23304,53
87,353031,2,16,23304,53
88,151211,4,21,23304,53
71,273043,2,16,23304,53
42,151252,4,21,23304,53
45,N,1,14,23304,53
66,151252,4,21,23304,53
64,413021,4,21,23304,53
101,113021,5,22,23304,53
63,112021,4,21,23304,53
59,N,4,21,23304,53
205,N,4,21,23304,53
31,172011,5,22,23304,53
62,N,5,23,23304,53
70,112022,4,21,23304,53
98,252020,5,22,23304,53
112,131161,4,21,23304,53
101,N,2,16,23304,53
54,113021,5,24,23304,53
39,151252,5,24,23304,53
40,192099,5,24,23304,53
39,1191XX,5,22,23304,53
32,N,1,3,23304,53
256,533030,4,21,23304,53
271,435021,2,16,23304,53
264,113071,4,21,23304,53
57,259040,4,21,23304,53
61,272012,4,21,23304,53
52,N,1,10,23304,53
239,172070,5,22,23304,53
244,N,5,23,23304,53
211,N,1,2,23304,53
65,172011,5,22,23304,53
61,113071,4,20,23304,53
58,N,3,19,23304,53
61,291210,5,23,23304,53
71,113021,5,22,23304,53
50,1191XX,5,22,23304,53
24,412010,2,16,23304,53
235,151252,5,22,23304,53
230,1191XX,5,22,23304,53
76,1721YY,5,22,23304,53
77,1191XX,4,21,23304,53
72,4990XX,4,21,23304,53
84,N,1,2,23304,53
90,N,1,0,23304,53
55,412010,3,19,23304,53
128,151252,4,21,23304,53
126,192099,4,21,23304,53
61,N,5,23,23304,53
68,N,3,19,23304,53
71,131082,4,21,23304,53
50,N,4,21,23304,53
50,412010,2,16,23304,53
39,412010,2,16,23304,53
66,131161,4,21,23304,53
69,172051,4,21,23304,53
33,112022,4,21,23304,53
36,252020,4,21,23304,53
62,151212,4,20,23304,53
57,292052,3,19,23304,53
94,131082,4,21,23304,53
68,151252,4,21,23304,53
79,N,1,0,23304,53
156,433031,4,21,23304,53
120,434051,4,21,23304,53
131,N,1,0,23304,53
60,N,3,18,23304,53
76,1191XX,3,18,23304,53
7,N,1,13,23304,53
7,N,3,19,23304,53
15,291210,5,23,23304,53
12,119030,4,21,23304,53
11,N,1,0,23304,53
75,132070,4,21,23304,53
75,519111,2,16,23304,53
203,271024,4,21,23304,53
232,271010,4,21,23304,53
59,1110XX,4,21,23304,53
57,N,3,18,23304,53
72,434171,4,21,23304,53
68,291123,5,23,23304,53
31,253041,4,21,23304,53
43,291210,5,23,23304,53
37,291041,5,23,23304,53
37,N,1,12,23304,53
38,N,1,9,23304,53
88,132070,3,19,23304,53
83,5191XX,4,20,23304,53
47,1520XX,5,22,23304,53
44,434181,4,21,23304,53
54,119051,3,19,23304,53
51,252020,4,21,23304,53
45,N,1,13,23304,53
55,N,1,11,23304,53
60,419020,3,19,23304,53
80,1191XX,4,21,23304,53
56,N,5,22,23304,53
85,151252,5,24,23304,53
61,171011,4,21,23304,53
10,274021,4,20,23304,53
59,419020,4,21,23304,53
47,27102X,4,21,23304,53
67,N,1,5,23304,53
55,N,1,2,23304,53
92,151252,4,21,23304,53
68,1191XX,4,21,23304,53
70,119141,4,21,23304,53
82,39509X,3,19,23304,53
120,151252,4,21,23304,53
89,151252,5,22,23304,53
62,212021,5,22,23304,53
65,273011,4,21,23304,53
127,151252,4,21,23304,53
84,395094,4,21,23304,53
76,291210,5,23,23304,53
60,419020,4,21,23304,53
55,131161,5,24,23304,53
83,N,5,22,23304,53
92,N,4,21,23304,53
100,N,4,21,23304,53
96,N,4,20,23304,53
115,291141,4,21,23304,53
122,1191XX,4,21,23304,53
9,291141,4,21,23304,53
9,N,5,24,23304,53
31,N,4,21,23304,53
31,N,5,22,23304,53
9,271010,5,23,23304,53
9,112021,5,22,23304,53
7,N,1,3,23304,53
91,N,5,22,23304,53
101,516031,2,16,23304,53
85,N,5,24,23304,53
68,N,5,22,23304,53
85,411012,4,21,23304,53
60,411012,4,21,23304,53
69,413031,4,21,23304,53
45,151251,2,16,23304,53
63,291210,5,24,23304,53
59,192099,5,24,23304,53
56,N,1,11,23304,53
65,N,1,9,23304,53
56,N,1,5,23304,53
62,1191XX,4,21,23304,53
59,N,4,21,23304,53
57,N,1,8,23304,53
56,N,1,1,23304,53
58,N,5,22,23304,53
11,112021,4,21,23304,53
11,131070,4,21,23304,53
9,N,1,12,23304,53
71,27102X,5,22,23304,53
69,1191XX,5,24,23304,53
61,N,1,2,23304,53
60,119041,5,22,23304,53
57,112022,5,22,23304,53
56,N,1,11,23304,53
41,252020,5,22,23304,53
46,151252,5,22,23304,53
48,1910XX,4,21,23304,53
66,532010,5,22,23304,53
65,433031,4,21,23304,53
70,N,1,14,23304,53
68,N,1,10,23304,53
43,291141,4,21,23304,53
32,291210,5,24,23304,53
28,N,1,3,23304,53
36,N,1,2,23304,53
180,151252,5,22,23304,53
177,N,4,21,23304,53
127,1721YY,5,22,23304,53
10,1110XX,5,22,23304,53
122,1191XX,5,22,23304,53
37,151252,4,21,23304,53
38,253041,4,21,23304,53
32,N,1,7,23304,53
60,151221,5,24,23304,53
53,N,5,22,23304,53
57,N,3,19,23304,53
61,291210,5,23,23304,53
48,291210,5,23,23304,53
68,N,1,4,23304,53
55,N,1,2,23304,53
121,252020,5,22,23304,53
102,113021,4,21,23304,53
101,132051,5,22,23304,53
89,N,1,1,23304,53
37,413021,4,21,23304,53
35,N,4,21,23304,53
356,151252,5,22,23304,53
349,151252,4,21,23304,53
249,N,1,12,23304,53
275,N,1,7,23304,53
12,113021,4,20,23304,53
12,1191XX,3,19,23304,53
6,353023,3,19,23304,53
14,N,1,12,23304,53
12,339021,4,20,23304,53
119,151252,5,24,23304,53
126,1520XX,5,22,23304,53
100,N,1,3,23304,53
113,N,1,2,23304,53
82,1721YY,4,21,23304,53
105,151251,4,21,23304,53
123,N,1,0,23304,53
198,252020,4,21,23304,53
207,131022,4,21,23304,53
227,N,1,12,23304,53
233,433021,4,21,23304,53
88,399032,3,19,23304,53
75,27102X,3,19,23304,53
89,27102X,3,19,23304,53
210,413091,4,21,23304,53
189,351012,4,21,23304,53
109,151252,3,19,23304,53
126,151251,4,21,23304,53
77,1191XX,5,22,23304,53
69,1191XX,4,21,23304,53
68,N,1,0,23304,53
56,N,4,21,23304,53
36,212011,5,22,23304,53
54,274030,5,22,23304,53
39,N,1,1,23304,53
38,N,1,0,23304,53
121,151252,5,22,23304,53
12,N,4,21,23304,53
11,N,4,21,23304,53
353,1721YY,4,21,23304,53
326,132011,4,21,23304,53
291,172051,5,22,23304,53
240,151252,5,22,23304,53
236,151252,5,22,23304,53
359,131041,4,21,23304,53
374,472031,2,16,23304,53
64,291210,5,23,23304,53
65,112021,4,21,23304,53
101,N,4,20,23304,53
98,N,4,21,23304,53
108,1110XX,4,21,23304,53
105,413091,4,21,23304,53
119,352010,4,21,23304,53
365,131161,5,22,23304,53
55,431011,5,22,23304,53
51,1110XX,4,21,23304,53
105,151252,5,22,23304,53
41,413021,4,21,23304,53
34,119151,4,21,23304,53
28,412010,3,19,23304,53
30,N,1,14,23304,53
177,N,3,18,23304,53
128,151252,4,21,23304,53
116,N,1,7,23304,53
116,N,1,6,23304,53
140,N,1,4,23304,53
60,N,5,23,23304,53
57,N,4,21,23304,53
144,151252,4,21,23304,53
62,N,3,19,23304,53
33,2590XX,5,23,23304,53
39,1110XX,5,23,23304,53
36,N,2,16,23304,53
23,N,1,14,23304,53
27,N,5,22,23304,53
54,N,2,17,23304,53
184,119141,2,16,23304,53
168,253041,4,21,23304,53
171,N,1,8,23304,53
59,N,5,22,23304,53
64,N,2,16,23304,53
110,151252,4,21,23304,53
109,N,4,21,23304,53
86,N,1,4,23304,53
125,N,1,1,23304,53
57,413091,4,21,23304,53
62,212021,4,21,23304,53
61,352010,4,21,23304,53
65,436014,4,20,23304,53
88,1520XX,5,22,23304,53
57,151211,4,21,23304,53
54,259040,2,16,23304,53
67,N,1,14,23304,53
79,151299,3,19,23304,53
87,537065,2,16,23304,53
60,N,3,19,23304,53
84,N,3,18,23304,53
290,N,3,19,23304,53
75,151252,5,22,23304,53
104,253041,5,22,23304,53
109,272021,4,21,23304,53
107,412010,4,21,23304,53
82,151252,5,22,23304,53
42,1191XX,5,22,23304,53
40,N,1,5,23304,53
34,N,1,5,23304,53
40,N,5,22,23304,53
37,399011,4,21,23304,53
77,151252,4,21,23304,53
75,151253,4,21,23304,53
59,N,1,9,23304,53
67,N,1,7,23304,53
75,119021,5,22,23304,53
69,1910XX,5,24,23304,53
67,151252,5,22,23304,53
54,291141,4,21,23304,53
79,37201X,1,13,23304,53
56,252020,5,22,23304,53
57,412031,4,20,23304,53
96,N,4,21,23304,53
106,N,4,21,23304,53
77,N,5,24,23304,53
80,151252,4,21,23304,53
39,113031,5,22,23304,53
35,392021,4,21,23304,53
36,353041,3,19,23304,53
60,N,4,21,23304,53
64,132011,4,21,23304,53
105,1520XX,5,22,23304,53
34,419099,4,21,23304,53
33,211029,4,21,23304,53
30,N,1,11,23304,53
35,N,1,8,23304,53
36,N,1,5,23304,53
359,119141,4,21,23304,53
396,151252,4,21,23304,53
329,N,1,7,23304,53
70,119041,5,22,23304,53
119,151252,4,21,23304,53
117,252020,5,22,23304,53
91,N,1,8,23304,53
92,N,1,5,23304,53
56,119051,5,22,23304,53
59,119081,4,21,23304,53
65,N,4,21,23304,53
267,111021,4,21,23304,53
344,272012,4,20,23304,53
65,434051,5,22,23304,53
70,252020,5,22,23304,53
54,N,1,11,23304,53
61,N,1,9,23304,53
54,N,1,4,23304,53
66,251000,5,22,23304,53
67,N,4,20,23304,53
64,412010,2,16,23304,53
374,151252,3,19,23304,53
14,291041,5,23,23304,53
14,292081,5,22,23304,53
13,N,1,11,23304,53
71,N,4,21,23304,53
58,472111,3,19,23304,53
66,419091,4,21,23304,53
65,411011,4,21,23304,53
120,151252,4,21,23304,53
105,519151,5,22,23304,53
71,132070,4,21,23304,53
67,533052,4,21,23304,53
49,171011,5,22,23304,53
71,151252,5,22,23304,53
44,259040,1,12,23304,53
50,N,1,10,23304,53
72,151252,4,21,23304,53
74,151252,4,21,23304,53
77,193011,5,22,23304,53
83,291210,5,23,23304,53
188,N,4,21,23304,53
188,353023,4,20,23304,53
204,272022,3,18,23304,53
210,353031,3,18,23304,53
120,1110XX,5,22,23304,53
132,472061,4,21,23304,53
64,N,4,21,23304,53
81,15124X,4,21,23304,53
185,419020,3,19,23304,53
191,419020,3,19,23304,53
6,119030,4,21,23304,53
12,419020,4,21,23304,53
64,112021,4,21,23304,53
13,1191XX,4,21,23304,53
73,271010,4,20,23304,53
57,N,4,20,23304,53
59,1191XX,5,22,23304,53
49,291292,4,20,23304,53
68,N,1,11,23304,53
55,N,5,22,23304,53
60,151252,5,22,23304,53
176,N,5,22,23304,53
36,151252,5,24,23304,53
36,151252,5,22,23304,53
42,N,1,2,23304,53
108,5360XX,4,21,23304,53
107,252020,4,21,23304,53
82,132011,5,22,23304,53
67,132011,5,23,23304,53
77,N,1,9,23304,53
73,N,1,7,23304,53
73,N,1,4,23304,53
117,151252,5,22,23304,53
9,N,4,20,23304,53
8,291210,5,23,23304,53
60,1191XX,4,21,23304,53
64,1110XX,5,22,23304,53
209,151252,4,21,23304,53
214,131070,4,21,23304,53
184,N,1,0,23304,53
85,1191XX,4,21,23304,53
64,172070,5,22,23304,53
63,N,3,18,23304,53
49,N,1,8,23304,53
49,N,1,5,23304,53
11,172051,5,22,23304,53
11,N,4,21,23304,53
106,211029,5,22,23304,53
85,113061,5,22,23304,53
44,1721YY,5,24,23304,53
43,N,5,22,23304,53
35,N,1,7,23304,53
34,N,1,4,23304,53
38,N,1,2,23304,53
57,N,2,16,23304,53
96,119141,5,22,23304,53
85,132051,4,21,23304,53
73,353041,1,14,23304,53
77,N,1,10,23304,53
69,172051,4,21,23304,53
149,151221,5,24,23304,53
111,N,4,21,23304,53
109,151252,5,22,23304,53
95,N,1,5,23304,53
122,N,1,1,23304,53
30,413091,4,21,23304,53
30,434171,4,21,23304,53
209,113021,5,22,23304,53
52,N,4,20,23304,53
58,312010,4,20,23304,53
75,119111,4,21,23304,53
82,353023,3,19,23304,53
88,412031,3,18,23304,53
82,352010,3,19,23304,53
100,N,3,19,23304,53
96,N,4,21,23304,53
99,N,4,21,23304,53
117,N,1,1,23304,53
125,N,1,0,23304,53
10,N,4,21,23304,53
12,N,4,21,23304,53
37,151252,5,22,23304,53
42,151252,5,22,23304,53
71,291141,4,21,23304,53
73,291020,5,23,23304,53
64,N,1,2,23304,53
81,N,1,0,23304,53
56,131041,4,21,23304,53
55,431011,4,21,23304,53
39,119030,5,22,23304,53
42,N,4,21,23304,53
46,N,3,19,23304,53
42,N,1,13,23304,53
73,411011,4,21,23304,53
68,N,4,21,23304,53
111,131082,4,21,23304,53
113,999920,5,22,23304,53
98,N,1,4,23304,53
98,N,1,1,23304,53
80,151252,4,21,23304,53
69,436014,3,19,23304,53
106,151252,5,22,23304,53
42,411011,4,21,23304,53
41,151252,5,22,23304,53
47,N,1,2,23304,53
65,291210,5,23,23304,53
49,272022,2,16,23304,53
57,N,4,21,23304,53
43,N,5,22,23304,53
36,N,5,24,23304,53
62,N,4,21,23304,53
61,N,5,22,23304,53
59,119141,4,21,23304,53
64,119141,4,21,23304,53
35,N,4,20,23304,53
215,531000,4,21,23304,53
197,531000,5,22,23304,53
34,N,4,21,23304,53
34,113021,5,22,23304,53
60,1110XX,4,21,23304,53
77,131121,4,21,23304,53
36,1191XX,4,21,23304,53
36,291210,5,23,23304,53
32,N,1,9,23304,53
32,N,1,6,23304,53
46,291123,5,24,23304,53
50,N,5,22,23304,53
70,1110XX,5,22,23304,53
59,N,1,7,23304,53
60,N,1,4,23304,53
66,151252,4,21,23304,53
66,N,4,21,23304,53
77,151252,4,21,23304,53
60,291141,4,21,23304,53
87,N,1,12,23304,53
38,N,3,19,23304,53
69,151212,4,21,23304,53
77,17302X,4,20,23304,53
41,151252,5,22,23304,53
8,131111,5,23,23304,53
10,413031,5,22,23304,53
8,N,1,11,23304,53
9,N,1,9,23304,53
7,N,1,8,23304,53
31,119141,4,21,23304,53
36,111021,4,21,23304,53
37,351011,3,18,23304,53
67,113031,5,22,23304,53
73,434051,5,22,23304,53
74,N,1,4,23304,53
33,412031,5,22,23304,53
37,399011,4,20,23304,53
35,N,1,13,23304,53
38,N,1,9,23304,53
32,N,1,12,23304,53
52,474011,4,21,23304,53
58,N,3,19,23304,53
35,132011,5,22,23304,53
36,411012,4,20,23304,53
28,272022,1,14,23304,53
35,N,1,11,23304,53
413,252010,1,12,23304,53
267,252010,2,16,23304,53
316,N,1,13,23304,53
393,N,1,9,23304,53
74,151299,4,21,23304,53
68,272022,4,21,23304,53
59,N,1,11,23304,53
60,113031,2,17,23304,53
64,311122,3,18,23304,53
70,292034,3,19,23304,53
70,353031,3,19,23304,53
59,N,1,11,23304,53
62,251000,5,22,23304,53
51,1191XX,5,22,23304,53
57,113071,5,22,23304,53
58,171011,4,21,23304,53
56,273043,4,21,23304,53
222,1191XX,4,21,23304,53
232,151212,5,22,23304,53
