SOCP,SCHL_RC1,SCHL,ED_LEVEL
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,23,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,24,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151211,5,22,Completed Advanced Degree
151212,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151211,4,21,Graduated College
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,5,24,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151212,4,20,Graduated College
151252,4,21,Graduated College
151252,5,24,Completed Advanced Degree
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151251,2,16,High school diploma
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151221,5,24,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,5,24,Completed Advanced Degree
151251,4,21,Graduated College
151252,3,19,Completed Some College
151251,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,4,21,Graduated College
151211,4,21,Graduated College
151299,3,19,Completed Some College
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151253,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,3,19,Completed Some College
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,5,24,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151221,5,24,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,4,21,Graduated College
151212,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151299,4,21,Graduated College
151212,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,24,Completed Advanced Degree
151211,4,21,Graduated College
151255,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151244,4,21,Graduated College
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,3,19,Completed Some College
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,4,20,Graduated College
151244,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,5,24,Completed Advanced Degree
151252,5,24,Completed Advanced Degree
151251,3,19,Completed Some College
151252,5,22,Completed Advanced Degree
151252,5,24,Completed Advanced Degree
151211,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,4,21,Graduated College
151299,4,21,Graduated College
151252,4,21,Graduated College
151252,5,24,Completed Advanced Degree
152031,4,21,Graduated College
151299,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151299,5,23,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151254,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151211,5,22,Completed Advanced Degree
151252,5,24,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151211,5,22,Completed Advanced Degree
151230,4,20,Graduated College
151252,5,24,Completed Advanced Degree
152031,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,24,Completed Advanced Degree
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151299,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,4,21,Graduated College
151241,5,24,Completed Advanced Degree
151252,5,24,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151253,4,21,Graduated College
151252,4,21,Graduated College
151211,4,21,Graduated College
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,4,20,Graduated College
151230,4,20,Graduated College
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151253,4,21,Graduated College
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
151230,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,5,22,Completed Advanced Degree
151252,2,16,High school diploma
151252,5,22,Completed Advanced Degree
151252,4,21,Graduated College
151252,4,21,Graduated College
151252,5,22,Completed Advanced Degree
